职位名,公司名,工作地点,薪资,发布时间
python数据分析讲师,深圳市泽林软件技术有限公司,深圳-南山区,2.5-3万/月,5月19日
Python研发工程师,新译信息科技（深圳）有限公司,深圳-南山区,0.8-1.5万/月,5月19日
Python开发工程师（初级）,深圳市文言科技发展有限公司,深圳,5.5-7千/月,5月19日
大数据Python工程师,深圳光启空间技术有限公司,深圳-南山区,1.5-3万/月,5月19日
Python高级开发工程师,上海新炬网络技术有限公司,深圳,1.5-2万/月,5月19日
Python爬虫工程师,深圳市财税无忧科技有限公司,深圳,1-1.5万/月,5月19日
python开发工程师,深圳市正易龙科技有限公司,深圳-南山区,1-2万/月,5月19日
Python开发工程师,深圳市掌世界网络科技有限公司,深圳-罗湖区,0.5-1.2万/月,5月19日
Python程序员,美皇贸易（深圳）有限公司,深圳-福田区,0.8-1.2万/月,5月19日
Python开发工程师（国信证券-乙方）,信必优(深圳)信息技术有限公司,深圳-罗湖区,1.5-1.9万/月,5月19日
Python高级工程师,梦工场珠宝企业管理有限公司,异地招聘,0.8-1万/月,5月19日
Python开发工程师,深圳市天翼互联科技有限公司,深圳-南山区,0.6-1.2万/月,5月19日
Python工程师  爬虫  五险一金 包住 双休,深圳市中源航空服务有限公司,深圳,1-1.5万/月,5月19日
Python开发工程师—新材料促进中心,飞扬集团,深圳,1-2万/月,5月19日
Python 后台工程师,深圳曼瑞德科技有限公司,深圳-龙华新区,1-1.5万/月,5月19日
Python开发工程师,广东国晖律师事务所,深圳,3.5-7千/月,5月19日
深圳市华馨智能科技—Python高级工程师,深圳市人力资源服务有限公司,深圳-龙华新区,1.7-2万/月,5月19日
Python开发工程师,善理通益信息科技（深圳）有限公司,深圳-南山区,0.7-1万/月,5月19日
系统开发工程师（python）,申朴信息技术（上海）股份有限公司,深圳,1.5-2万/月,5月19日
Python开发工程师,深圳市暴击互动娱乐有限公司,深圳-南山区,1.5-2万/月,5月19日
Python开发工程师,深圳市街角电子商务有限公司,深圳-南山区,1.5-2.5万/月,5月19日
Python开发工程师,深圳众禄基金销售股份有限公司,深圳,1.8-2.5万/月,5月19日
python大数据开发工程师,深圳触云科技有限公司,深圳,1-3万/月,5月19日
Python开发工程师,广州嘉为科技有限公司,深圳,0.6-1万/月,5月19日
Python开发师,深圳市新律技术服务有限公司,深圳-龙华新区,3-4.5千/月,5月19日
Python,深圳融天云科软件技术有限公司,深圳-南山区,1-1.5万/月,5月19日
Python游戏服务端开发工程师,深圳市三创达实业有限公司,深圳-宝安区,1-2万/月,5月19日
Python后台开发工程师,深圳市度点科技有限公司,深圳-宝安区,1-3万/月,5月19日
Python数据采集网络爬虫工程师,深圳市凯利讯科技有限公司,深圳-福田区,6-8千/月,5月19日
Python开发工程师,深圳市源极光科技有限公司,深圳-南山区,1-1.5万/月,5月19日
Python开发工程师,深圳市前海谷雨网络科技有限公司,深圳-南山区,1.5-2万/月,5月19日
Python开发工程师,深圳市芒柠科技有限公司,深圳-南山区,0.8-1.5万/月,5月19日
Python软件开发工程师,深圳市有限元科技有限公司,深圳,0.8-1.6万/月,5月19日
Python后端开发工程师,深圳先知大数据有限公司,异地招聘,0.8-1.5万/月,5月19日
大数据/python技术支持老师,深圳市达内软件有限公司,深圳,0.8-1万/月,5月19日
储备干部（Python人工智能方向）,深圳市恒利隆实业有限公司,深圳,4-6千/月,5月19日
Python实习生 不限基础,深圳市沃控科技有限公司,深圳-南山区,3-4.5千/月,5月19日
Python开发工程师（包住+五险一金）,深圳市南方网通网络技术开发有限公司,深圳-南山区,1-2万/月,5月19日
Python+MySQL 后台开发工程师,富士康科技集团CNSBG事业群,深圳-龙华新区,0.6-2万/月,5月19日
Python开发工程师（深圳）,平安科技（深圳）有限公司,深圳-福田区,1.5-3万/月,5月19日
Python开发工程师,深圳硕软技术有限公司,深圳,1-2万/月,5月19日
Python大数据工程师,深圳市爱宝惟生物科技有限公司,深圳-宝安区,0.7-1万/月,5月19日
Python开发工程师,成都迈思信息技术有限公司,深圳,1-1.5万/月,5月19日
Python后台高级开发经理,深圳市埃提思科技开发有限公司,深圳-南山区,2.4-3.3万/月,5月19日
Python技术工程师,深圳市前海图灵互联网金融服务有限公司,深圳-福田区,1-1.5万/月,5月19日
Python开发工程师,深圳市中易腾达科技股份有限公司,深圳,0.6-1.2万/月,5月19日
Python(RPA)实施开发工程师（软件）,上海艺赛旗软件股份有限公司,深圳,0.6-1万/月,5月19日
应用程序开发工程师（.NET、Python+安全开发大牛),深圳安巽科技有限公司,深圳-福田区,4-8千/月,5月19日
资深Python后端工程师,安吉康尔（深圳）科技有限公司,深圳-龙华新区,1.5-3万/月,5月19日
python+postgreSQL 社交商城开发,第一品牌有限公司 FIRST BRAND LIMITED,深圳-宝安区,1-1.5万/月,5月18日
Python后端开发工程师,深圳市星河互动科技有限公司,深圳-南山区,0.8-1.5万/月,5月18日
Python开发工程师,广东盛迪嘉集团有限公司,深圳-南山区,2-2.5万/月,5月18日
Python工程师（爬虫方向）,深圳市涌浪网络技术有限公司,深圳-南山区,15-20万/年,5月18日
Python 爬虫工程师,深圳市英唐智能控制股份有限公司,深圳-南山区,0.7-1.6万/月,5月18日
PHP+Python软件工程师,深圳市爱飞亿科技有限公司,深圳-龙岗区,1.5-2万/月,5月18日
Python开发工程师,深圳华强聚丰电子科技有限公司,深圳-福田区,1-2万/月,5月18日
Python开发工程师,深圳市火乐科技发展有限公司,深圳,0.7-1.5万/月,5月18日
Python开发工程师,深圳市斯凯荣科技有限公司,深圳-南山区,1-1.5万/月,5月18日
python爬虫工程师,桑尼号（深圳）科技有限公司,深圳-南山区,1.5-2万/月,5月18日
Python工程师,深圳市天方达健信科技股份有限公司,深圳-罗湖区,0.6-1.2万/月,5月18日
python爬虫开发工程师,深圳电竞风暴科技有限公司,深圳-南山区,1.5-3万/月,5月18日
Python开发工程师,杰为软件系统（深圳）有限公司,异地招聘,0.8-1.6万/月,5月18日
Python爬虫工程师,深圳市中顺和盈科技有限公司,深圳-南山区,1.5-2.5万/月,5月18日
Python开发J15588,携程旅行网深圳分公司,深圳-福田区,1.5-2万/月,5月18日
Python自动化测试,深圳开黑科技有限公司,深圳-南山区,1-1.9万/月,5月18日
Python就业指导专员,传智播客教育集团深圳分校,深圳-宝安区,1.2-2万/月,5月18日
Python高级开发工程师,深圳市百诺信科技有限公司,深圳,15-20万/年,5月18日
高级Python开发工程师（深圳）,武汉微思敦网络技术有限公司,深圳-南山区,2-3万/月,5月18日
Python/c++,深圳市金证科技股份有限公司,深圳-福田区,1-1.5万/月,5月18日
Python开发讲师,深圳前海中清龙图教育科技有限公司,深圳-南山区,1.2-1.8万/月,5月18日
Python开发工程师（后端开发）,深圳库尚信息技术有限公司,深圳,1-2万/月,5月18日
python后台开发工程师,深圳市云趣网络科技股份有限公司,深圳-南山区,1-1.5万/月,5月18日
Python讲师,北京千锋互联科技有限公司深圳分公司,深圳-宝安区,1.5-3万/月,5月18日
Python开发工程师,深圳回收宝科技有限公司,深圳-南山区,1.5-2.2万/月,5月18日
Python开发工程师,深圳市全瓷时代电器有限公司,深圳,0.8-1.2万/月,5月18日
Python高级开发工程师,深圳市无极云区块链互联网技术开发有限公司,深圳-南山区,1-1.5万/月,5月18日
后台开发工程师（C++，Python，go）,深圳市云之梦科技有限公司,深圳-南山区,1-1.5万/月,5月18日
Python开发工程师,深圳合纵能源技术有限公司,深圳,1-1.8万/月,5月18日
"后台开发工程师（Node, Python, Java, Go）",深圳飞豹航天航空科技有限公司,深圳,1-1.5万/月,5月18日
python讲师,深圳市创业二路科技有限公司,深圳-宝安区,1.5-2万/月,5月18日
Python开发工程师,深圳市新华云帆科技有限公司,深圳,1.5-2.5万/月,5月18日
Python开发实习生,深圳市易贝通科技有限公司,深圳,4-6千/月,5月18日
Python中级开发工程师,深圳市创世纪科技发展有限公司,深圳-大鹏新区,1.2-1.7万/月,5月18日
软件开发工程师（C#/python）,深圳市倍通供应链服务有限公司,深圳,0.8-1.5万/月,5月18日
Python 工程师,深圳前海壹互联科技投资有限公司,深圳-南山区,1-2万/月,5月18日
Python开发工程师,深圳市博奥特科技有限公司,深圳-福田区,1.3-1.8万/月,5月18日
Python,深圳易思网络技术有限公司,深圳,20-30万/年,5月18日
Python程序员 数据挖掘方向,深圳市越健明科技有限公司,深圳-福田区,0.6-1.2万/月,5月18日
Python开发工程师,深圳市览众科技股份有限公司,深圳-南山区,0.8-1.5万/月,5月18日
python数据工程师,深圳市狮子软件有限公司,深圳-南山区,1-1.8万/月,5月18日
Python开发工程师,软通动力信息技术（集团）有限公司,深圳-龙岗区,0.8-1.5万/月,5月18日
Python开发工程师,匀富（深圳）电子商务有限公司,深圳-南山区,2-2.5万/月,5月18日
Python开发工程师,深圳睿云智合科技有限公司,深圳-南山区,1.5-3万/月,5月18日
python（大数据 shell） Y,同方鼎欣科技股份有限公司,深圳-南山区,1.2-2万/月,5月18日
Python高级开发工程师,深圳生理科技有限公司,深圳-南山区,1-1.5万/月,5月18日
Python开发工程师,深圳第一光年控股有限公司,深圳-龙华新区,1.5-2万/月,5月18日
Python开发工程师,深圳市安络科技有限公司,深圳,1-2万/月,5月18日
Python开发工程师,深圳市炫彩酷游科技有限公司,深圳-南山区,1-1.5万/月,5月17日
Java开发工程师（Python）,北京泛鹏天地科技股份有限公司,深圳-南山区,1-1.5万/月,5月17日
python工程师,深圳市华付信息技术有限公司,深圳-南山区,1-2万/月,5月17日
odoo/Python开发工程师,深圳市德立达科技有限公司,深圳-南山区,1-1.5万/月,5月17日
Python后台开发,500.com集团,深圳-南山区,1.5-2.5万/月,5月17日
C++/Python/QT软件工程师,思力科（深圳）电子科技有限公司,深圳-南山区,1.2-2.5万/月,5月17日
高级开发工程师（C++或Python）,深圳证券通信有限公司,深圳-南山区,1-1.5万/月,5月17日
Python（高级&资深&leader）,明源软件,深圳,1.8-3.5万/月,5月17日
python 爬虫开发工程师,深圳美丽经济科技有限公司,深圳-南山区,1-1.5万/月,5月17日
Python爬虫工程师,深圳市中投兴业有限公司,深圳-福田区,1-1.5万/月,5月17日
资深Python工程师（深圳）,北京国双科技有限公司,深圳,2-3万/月,5月17日
中级python后端开发,深圳市华创科新科技有限公司,深圳-南山区,1-1.5万/月,5月17日
Python开发工程师,深圳趣凡网络科技有限公司,深圳-南山区,1-2万/月,5月17日
Python数据工程师,银谷普惠信息咨询（北京）有限公司,深圳-福田区,1-2万/月,5月17日
双休爬虫开发工程师php开发工程师python开发工程师,深圳市以沃科技有限公司,深圳-龙岗区,0.8-1.2万/月,5月17日
Python开发工程师,上海速强信息技术有限公司,深圳,1-1.5万/月,5月17日
C++量化开发/python,深圳市华傲数据技术有限公司,深圳-南山区,1.5-3万/月,5月17日
[美国上市]Python技术支持老师,达内时代科技集团有限公司,深圳-龙岗区,0.8-1万/月,5月17日
Python开发工程师,深圳奥比中光科技有限公司,深圳-南山区,1.5-3万/月,5月17日
Python应用开发工程师,富士康科技集团New PCEBG事业群,深圳-南山区,1-1.5万/月,5月17日
Python高级开发工程师,深圳市微商时代科技有限公司,深圳,1.5-3.5万/月,5月17日
Python开发工程师,上海阜坤信息科技有限公司,深圳-龙岗区,0.9-1.5万/月,5月16日
高级研发工程师（Python方向）,优购科技有限公司,深圳-南山区,1.5-2万/月,5月16日
Python软件开发工程师,深信服科技股份有限公司,深圳-南山区,1-2万/月,5月16日
Python开发工程师,华强方特文化科技集团股份有限公司,深圳,0.6-1.5万/月,5月16日
Python工程师（国外）,上海酷萌网络科技有限公司,异地招聘,2.5-3.5万/月,5月16日
Python开发工程师,深圳拓邦股份有限公司,深圳,1-2万/月,5月16日
高级软件工程师(Python),傲讯全通科技（深圳）有限公司,深圳-福田区,0.8-1.2万/月,5月16日
python 工程师-大数据方向,深圳市尚锐科技有限公司,深圳,1-2万/月,5月16日
python/lua开发,深圳市爱致科技有限公司,深圳-南山区,1-1.5万/月,5月16日
Python工程师-大数据方向,深圳华策辉弘科技有限公司,深圳-福田区,1.2-1.8万/月,5月16日
Python 工程师,深圳市杰恩创意设计股份有限公司,深圳-南山区,1-1.5万/月,5月16日
Python开发工程师,深圳市天彦通信股份有限公司,异地招聘,1-1.5万/月,5月16日
25923-python后台开发工程师（深圳/上海）,深圳市腾讯计算机系统有限公司,深圳,,5月16日
Python/Django后台开发工程师,深圳睛灵科技有限公司,深圳-龙岗区,1-2.5万/月,5月16日
游戏服务端Python开发工程师,马丁（深圳）高新科技有限公司,深圳-宝安区,1.2-1.8万/月,5月15日
Python中高级工程师,深圳市共济科技股份有限公司,深圳-南山区,1-3.5万/月,5月15日
Python后端工程师,清影医疗科技（深圳）有限公司,深圳,1-2万/月,5月15日
C++/Python后台软件开发高级工程师,阿斯麦-中国,深圳-南山区,30-40万/年,5月14日
数据分析工程师（python）,深圳乾立亨基金管理有限公司,深圳-福田区,1.2-2万/月,5月14日
Python开发工程师,深圳市易思博酷客科技有限公司,深圳-福田区,1-1.8万/月,5月14日
python量化交易开发工程师,深圳市匡曲科技有限公司,深圳-福田区,1-2万/月,5月12日
Python开发工程师,晨星资讯（深圳）有限公司,深圳-福田区,1-1.5万/月,5月12日
初级python开发工程师,深圳市佳创科技有限公司,深圳-福田区,4.5-6千/月,5月12日
python/Django web开发工程师,深圳优博视科技有限公司,深圳-罗湖区,6-8千/月,5月11日
软件开发工程师(Python数据爬虫),深圳市爱美购科技有限公司,深圳-南山区,0.8-1.6万/月,5月11日
Python开发工程师,深圳指尖科技有限公司,深圳-宝安区,1.5-2万/月,5月10日
Python开发工程师,深圳市和讯华谷信息技术有限公司,深圳-南山区,1.2-2.4万/月,5月10日
Python后端工程师,深圳云天励飞技术有限公司,深圳-福田区,1.5-3万/月,5月10日
Python开发工程师,深圳丝路天地电子商务有限公司,深圳-南山区,1-2万/月,5月10日
Python高级开发工程师,深圳市南伽科技信息有限公司,深圳-龙华新区,1-1.5万/月,5月10日
Python开发工程师,深圳市艾鑫承科技有限公司,深圳-罗湖区,1-1.5万/月,5月9日
sz-python开发,CMGE中手游,深圳-福田区,1.5-2.5万/月,5月9日
Python web programmer,金乔投资顾问（深圳）有限公司,深圳-福田区,1-1.5万/月,5月9日
Python开发工程师,深圳市贝莱德投资顾问有限公司,深圳,1.5-2万/月,5月8日
Python/C++金融软件开发工程师,深圳米佳乐文化传媒有限公司,深圳-南山区,1.5-2万/月,5月7日
Python开发工程师,顺丰科技有限公司,深圳-南山区,2-2.5万/月,5月7日
python开发工程师-深圳-03622,博彦科技股份有限公司,深圳,1-1.5万/月,5月6日
Python开发工程师,深圳前海帕拓逊网络技术有限公司,深圳-龙岗区,1.5-2.5万/月,5月4日
python工程师,亚联财信息咨询（深圳）有限公司,深圳-福田区,0.8-1.5万/月,5月2日
高级Python开发工程师,深圳好多银科技有限公司,深圳-罗湖区,0.8-1.5万/月,5月2日
Python开发工程师,深圳市瑞驰信息技术有限公司,深圳,0.6-1.5万/月,5月2日
python后台开发,前海泰坦科技（深圳）有限公司,深圳-福田区,1-2.5万/月,5月2日
高级Python后端工程师,深圳市藤讯科技有限公司,深圳-南山区,2-4万/月,5月2日
后端python工程师,深圳市乔安科技有限公司,深圳-龙华新区,1-1.5万/月,4月30日
python培训讲师（专***）,深圳迈瑞思信息技术有限公司,深圳-南山区,1.5-2万/月,4月27日
Python开发工程师,上海炽聚网络科技有限公司,深圳,1.2-2万/月,4月27日
Python全栈开发工程师,大千视界（深圳）文化传媒有限公司,深圳-南山区,1-2万/月,4月26日
Python Web开发工程师,图麟信息科技（上海）有限公司,深圳-南山区,1.5-3万/月,4月25日
Python软件工程师,深圳市大疆创新科技有限公司,深圳-南山区,2-3.5万/月,4月24日
Python开发工程师,深圳市百迅科技有限公司,深圳-福田区,1-1.5万/月,4月24日
Python开发工程师,深圳市誉托科技有限公司,深圳-龙岗区,0.6-1.5万/月,4月23日
Python开发工程师,大连亿达信息技术有限公司深圳分公司,深圳-南山区,1-1.5万/月,4月19日
Python开发工程师,深圳布谷鸟信息科技有限公司,深圳-南山区,1-2万/月,4月19日
Python工程师,深圳市四十大道电子商务有限公司,深圳,0.8-1.5万/月,4月17日
Python开发工程师,深圳鑫科国际商业保理有限公司,深圳-南山区,0.7-1万/月,4月16日
Python开发工程师,深圳市博悦科创科技有限公司,深圳-福田区,1-1.5万/月,4月13日
初级Python开发工程师,深圳市尚诚信息技术有限公司,深圳-福田区,6-8千/月,4月12日
Python数据采集开发工程师,森沐（深圳）网络科技有限公司,深圳-龙华新区,0.6-1万/月,4月12日
Python开发工程师,深圳瓶子科技有限公司,深圳,1.5-2万/月,4月9日
Python开发工程师,深圳市博奥特科技有限公司,深圳-福田区,1-1.5万/月,4月8日
Python工程师,深圳必旺电子商务有限公司,异地招聘,0.8-1.2万/月,4月8日
Python开发工程师,一泰慧安（深圳）科技有限公司,深圳-福田区,1-1.8万/月,4月3日
Python开发工程师,深圳市东方博雅科技有限公司,深圳,1.2-2万/月,4月2日
Python开发工程师,深圳市妙严科技有限公司,深圳-南山区,1-1.5万/月,4月2日
python开发,文思海辉技术有限公司Pactera Technology International Limited,深圳,0.8-1万/月,3月31日
python开发,中软国际科技服务有限公司,深圳-龙岗区,0.8-1.5万/月,3月30日
Python 爬虫工程师,深圳市比一比网络科技有限公司,深圳-南山区,1.5-2万/月,3月29日
Python开发工程师,深圳柚子街科技有限公司,深圳-南山区,0.8-1.2万/月,3月29日
Java/Python 软件开发工程师,深圳市中鹏教育科技股份有限公司,深圳-龙岗区,1.3-2万/月,3月28日
Python开发工程师,深圳市拓保软件有限公司,深圳-南山区,1-1.5万/月,3月28日
游戏客户端开发工程师（c++/python）,深圳淘乐网络科技有限公司,深圳-南山区,1-2.5万/月,3月27日
Python开发工程师,印孚瑟斯技术（中国）有限公司,深圳-龙岗区,1.2-1.8万/月,3月25日
Python开发工程师,深圳神目信息技术有限公司,深圳-南山区,0.8-1.5万/月,3月22日
Python开发工程师,江苏润和软件股份有限公司,深圳-龙岗区,1-2万/月,3月22日
Python开发工程师,天津市正标津达线缆有限公司,异地招聘,1-1.5万/月,3月21日
Python开发工程师,浪潮通软公司,深圳,1-1.5万/月,3月21日
python讲师,北京千锋互联科技有限公司,深圳-南山区,2.5-3万/月,3月19日
Python游戏服务端开发工程师,广州途游网络科技有限公司,深圳-南山区,1.5-3万/月,3月19日
DBA/数据库管理员（多度科技）,深圳市多度科技有限公司,深圳-南山区,1.5-2.5万/月,5月19日
测试开发工程师,深圳市星月互娱科技有限公司,深圳-南山区,1.2-1.8万/月,5月19日
软件测试工程师,深圳链向科技有限公司,深圳-南山区,0.8-1.5万/月,5月19日
Global Project  Lead,深圳市思立创科技有限公司,异地招聘,60-90万/年,5月19日
大数据运维工程师,深圳市全民点游科技有限公司,深圳-南山区,1-1.5万/月,5月19日
后端开发工程师,深圳鲲鹏无限科技有限公司,深圳-宝安区,1.5-2.5万/月,5月19日
运维工程师,深圳华盛商业发展有限公司,深圳,1-1.5万/月,5月19日
运维工程师,深圳信真科技有限公司,深圳-南山区,1.4-2万/月,5月19日
高级前端开发工程师,深圳市广联智通科技有限公司,深圳,0.7-1.2万/月,5月19日
Java中级软件工程师,深圳淘邦网络科技有限公司,深圳,0.6-1万/月,5月19日
运维工程师,深圳市麦谷科技有限公司,深圳-南山区,0.8-1.5万/月,5月19日
(Senior) Software Test Engineer,百默科技（深圳）有限公司,深圳,25-35万/年,5月19日
网站后台开发工程师,深圳市智远教育科技有限公司,深圳-福田区,0.8-1.2万/月,5月19日
运维开发,深圳市采集科技有限公司,深圳-福田区,1-2万/月,5月19日
前端开发工程师,深圳市德科信息技术有限公司,深圳-福田区,1-1.5万/月,5月19日
高级产品经理,深圳市恒领投资咨询有限公司,深圳,1.5-2.5万/月,5月19日
数据分析高级主管,深圳市小牛普惠投资管理有限公司,深圳-福田区,1.5-2万/月,5月19日
运维经理,深圳市彩生活服务集团有限公司,深圳-龙华新区,1.8-2.5万/月,5月19日
系统管理岗（风控合规中心）,恒大人寿保险有限公司,深圳-南山区,1-1.5万/月,5月19日
运维工程师,银雁（总部）金融服务有限公司,深圳,1-1.5万/月,5月19日
CDN研发高级工程师,vivo智能手机（维沃移动通信有限公司）,深圳-福田区,2.5-3万/月,5月19日
运维工程师,深圳市零成本科技股份有限公司,深圳,0.8-1.2万/月,5月19日
前端开发工程师,广东清大菲恩工业数据技术有限公司,深圳-南山区,0.6-1万/月,5月19日
运维工程师,深圳汇思诺科技有限公司,深圳-南山区,0.5-1万/月,5月19日
IT工程师,深圳市环球数码科技有限公司,深圳-南山区,0.8-1.2万/月,5月19日
IT经理,中城新产业控股有限公司,深圳-南山区,1.5-2万/月,5月19日
测试工程师（外包）,广州安正软件股份有限公司,深圳-福田区,0.8-1.2万/月,5月19日
高级后端开发工程师Java工程师,深圳市麦百嘉科技有限责任公司,深圳-龙华新区,1-1.5万/月,5月19日
软件测试工程师,深圳市微三云网络科技有限公司,深圳-南山区,3.5-8千/月,5月19日
大数据方案经理,深圳微品致远信息科技有限公司,深圳-南山区,1-2万/月,5月19日
机器人运动仿真工程师,真玫智能科技（深圳）有限公司,深圳-南山区,1.5-2万/月,5月19日
系统运维工程师,深圳市樱桃优品网络科技有限公司,深圳-南山区,0.8-1.6万/月,5月19日
银行信用卡测试工程师,神州数码系统集成服务有限公司上海分公司,深圳,0.6-1.2万/月,5月19日
规划控制算法工程师,深圳普思英察科技有限公司,深圳-南山区,2.5-4万/月,5月19日
Java后端开发工程师,富强天一咨询（深圳）有限公司,深圳-罗湖区,1-1.5万/月,5月19日
初级运维工程师,深圳云娃科技有限公司,深圳,0.6-1万/月,5月19日
资深大数据平台研发工程师,深圳合众财富金融投资管理有限公司广州分公司,深圳-南山区,2-3万/月,5月19日
IT运维经理,深圳市亚飞电子商务有限公司,深圳-龙岗区,1.5-2.5万/月,5月19日
Staff Software Engineer,晟碟半导体（上海）有限公司,深圳-南山区,1-1.5万/月,5月19日
SDK测试工程师,深圳市商汤科技有限公司,深圳-南山区,1.5-2万/月,5月19日
嵌入式软件开发工程师,深圳市德威胜潜水工程有限公司,深圳-坪山区,0.8-2万/月,5月19日
软件工程师,深圳市唐印投资有限公司,深圳-福田区,6-8千/月,5月19日
数据挖掘工程师,深圳市数聚能源科技有限公司,深圳,1.3-2万/月,5月19日
高级服务器开发工程师（同时熟悉客户端的优先）,深圳市尚游网络科技有限公司,深圳-南山区,1.5-2.4万/月,5月19日
风控策略分析师,深圳市佰仟金融服务有限公司,深圳-福田区,0.8-1.2万/月,5月19日
软件及视觉工程师/培训师,深圳市连硕教育投资管理有限公司,深圳-南山区,0.7-1.3万/月,5月19日
数据库工程师,深圳市信义科技有限公司,深圳,0.8-1.2万/月,5月19日
区块链 资深C/C++程序员,深圳银链科技有限公司,深圳-南山区,0.8-2.5万/月,5月19日
Java开发工程师,维恩贝特科技有限公司,深圳-罗湖区,1.3-1.8万/月,5月19日
自动化测试工程师,广东博成网络科技有限公司,深圳-福田区,7-8千/月,5月19日
数据分析师,深圳市三希软件科技有限公司,深圳-福田区,0.6-1.2万/月,5月19日
高级运维工程师,比特大陆（深圳）区块链有限公司,深圳-福田区,1-2万/月,5月19日
BI分析师,深圳市全样本科技有限公司,深圳-南山区,4.5-6千/月,5月19日
数据分析师-00657,任子行网络技术股份有限公司,深圳-南山区,0.8-1.5万/月,5月19日
Java高级开发工程师（高薪招聘））,深圳圣马歌科技有限公司,深圳,1.5-2万/月,5月19日
系统运维工程师,深圳市精准世纪信息科技有限公司,深圳,1-1.2万/月,5月19日
高级运维工程师,深圳市泓龙科技有限公司,深圳-福田区,0.8-1.5万/月,5月19日
Java高级开发工程师,东华软件股份公司,深圳,,5月19日
自然语言处理NLP高级工程师,深圳齐牛互联网金融服务有限公司,深圳-南山区,1.5-3万/月,5月19日
H5 APP前端开发工程师,深圳悦借科技有限公司,深圳-南山区,0.7-1.5万/月,5月19日
测试工程师,深圳前海跨海侠跨境电子商务有限公司,深圳-福田区,1-1.5万/月,5月19日
系统驱动测试工程师,OPPO,深圳-南山区,20-35万/年,5月19日
.NET开发工程师,深圳市邦德布拉泽科技有限公司,深圳-南山区,1.5-2万/月,5月19日
软件工程师,深圳市富臻科技有限公司,深圳-宝安区,0.8-1万/月,5月19日
运维工程师,深圳市蒜泥科技有限公司,深圳-南山区,0.7-1.4万/月,5月19日
系统运维工程师（宝安）,深圳市星火电子工程公司,深圳,0.6-1万/月,5月19日
Linux运维高级工程师(深圳）,广州市灵通新技术有限公司,深圳,15-20万/年,5月19日
C++ 开发工程师（交易系统）,上海绰瑞资产管理有限公司,深圳-南山区,1-4万/月,5月19日
IT Security Analyst(J10022),安富利电子科技（深圳）有限公司,深圳-南山区,1.5-2万/月,5月19日
运维工程师,深圳前海新华康互联网金融服务有限公司,深圳-龙岗区,1-1.5万/月,5月19日
运维工程师,广州华微明天软件技术有限公司,深圳-龙岗区,1-1.5万/月,5月19日
高级爬虫工程师,深圳市易世通达贸易有限公司,深圳-南山区,1-2万/月,5月19日
系统运维工程师,深圳市中天安驰有限责任公司,深圳-南山区,0.7-1.4万/月,5月19日
系统开发工程师,欧拓飞科技（深圳）有限公司,深圳-光明新区,1.5-2万/月,5月19日
数据挖掘岗,中国平安财产保险股份有限公司,深圳-福田区,23.2-28万/年,5月19日
高级测试工程师,深圳市我们加网络科技有限责任公司,深圳-宝安区,1.5-2万/月,5月19日
数据研发工程师（容器化方向）,厦门美图之家科技有限公司,深圳,1.8-3.6万/月,5月19日
Java服务器后端开发工程师(物联网),深圳市亿道控股有限公司,深圳,1-2万/月,5月19日
Senior Text Mining Engineer,TCL多媒体全球研发中心,异地招聘,1-3万/月,5月19日
性能测试工程师,苏州千视通视觉科技股份有限公司,深圳,6-8千/月,5月19日
运维总监 (MJ000847),深圳市云之讯网络技术有限公司,深圳-南山区,2.5-3.5万/月,5月19日
（高级）运维工程师,深圳市超仁信息科技有限公司,深圳-南山区,0.9-1.2万/月,5月19日
媒体总监,深圳寰坤科技有限公司,深圳-南山区,1-2万/月,5月19日
Windows系统管理员,IBM China,深圳,,5月19日
GIS研发工程师,北京长地万方科技有限公司,异地招聘,1.3-2.2万/月,5月19日
DBA（数据库管理员）,深圳市酷开网络科技有限公司,深圳-宝安区,1-1.5万/月,5月19日
Java开发工程师,深圳市爱智慧科技有限公司,深圳-龙岗区,0.8-1.5万/月,5月19日
app后台开发工程师,必瘦站企业管理咨询（深圳）有限公司,深圳,1.5-2万/月,5月19日
网络爬虫工程师,深圳市易诺建设工程有限公司,深圳-南山区,0.7-1万/月,5月19日
PHP开发主管,前海初道科技（深圳）有限公司,深圳-南山区,1.8-2.5万/月,5月19日
运维经理,深圳市互联港湾网络技术有限公司,深圳-南山区,1.5-2万/月,5月19日
测试工程师,天下支付科技有限公司,深圳-福田区,0.8-1.6万/月,5月19日
功能测试工程师,深圳市云宝聚合网络科技有限公司,深圳-南山区,0.8-1.3万/月,5月19日
信息安全工程师,广东康美通信息服务有限公司,深圳-福田区,1-1.5万/月,5月19日
区块链首席架构师 （高薪急聘）,深圳市荣创投资管理有限公司,深圳-南山区,3-5万/月,5月19日
自然语言处理工程师,广东来艾健康科技有限公司,深圳-福田区,1-2万/月,5月19日
算法工程师,深圳埃克斯工业自动化有限公司,深圳-南山区,1.5-2.5万/月,5月19日
游戏运维工程师,深圳市鸿福信息技术有限公司,深圳-南山区,2-3万/月,5月19日
前端开发工程师,深圳市银澎投资控股（集团）有限公司,深圳-南山区,1-1.8万/月,5月19日
算法工程师,深圳越海全球供应链有限公司,深圳-福田区,1-2万/月,5月19日
数据建模分析师,深圳前海鹏元数据技术有限公司,深圳-福田区,1.5-3万/月,5月19日
测试工程师,深圳市怡亚通供应链股份有限公司,深圳-龙岗区,1.5-3万/月,5月19日
