职位名,公司名,工作地点,薪资,发布时间
Java开发工程师,广州趣海信息科技有限公司,深圳-南山区,0.9-1.5万/月,05-19
Java高级开发工程师,深圳朗牧泽信息技术有限公司,深圳-宝安区,1.5-2.8万/月,05-19
Java软件工程师（五险一金+意外险）,深圳行智互动科技有限公司,深圳-龙华新区,0.6-1.2万/月,05-19
区块链 java工程师,深圳银链科技有限公司,深圳-南山区,1-2万/月,05-19
数据仓库JAVA开发工程师,深圳市数聚能源科技有限公司,深圳,1.5-2万/月,05-19
Java开发工程师,深圳市安致兰德科技有限公司,深圳-福田区,6-8千/月,05-19
Java高级开发工程师,深圳市可可网络科技有限公司,深圳-福田区,0.8-1.5万/月,05-19
Java开发工程师,汕头市罗莎网络科技有限公司,深圳,1.4-1.8万/月,05-19
Java中级开发工程师,上海汉得信息技术股份有限公司深圳分公司,深圳-龙岗区,0.8-1.5万/月,05-19
Java高级开发工程师,深圳市汉德网络科技有限公司,深圳-南山区,1.2-1.7万/月,05-19
java技术专家,广州瑞云网络科技有限公司,深圳-南山区,2-3万/月,05-19
Java高级开发工程师,深圳市前海小猪互联网金融服务有限公司,深圳,1-2万/月,05-19
Java开发工程师,深圳昂楷科技有限公司,深圳-南山区,1.2-1.7万/月,05-19
Java高级开发工程师,北京中人网信息咨询股份有限公司深圳分公司,深圳-南山区,2-3万/月,05-19
Java高级开发工程师,深圳硕软技术有限公司,深圳,1-1.5万/月,05-19
Java工程师,深圳市都市数据技术有限公司,深圳-南山区,0.8-1.6万/月,05-19
Java高级开发工程师（高薪招聘））,深圳圣马歌科技有限公司,深圳,1.5-2万/月,05-19
Java高级工程师,深圳市正集源网络科技有限公司,深圳-宝安区,2-2.8万/月,05-19
Java开发工程师,深圳市凯路网络技术有限公司,深圳-宝安区,4.5-6千/月,05-19
JAVA开发工程师,深圳优客共享科技有限公司,深圳-龙华新区,1.2-2万/月,05-19
Java高级开发工程师,东华软件股份公司,深圳,,05-19
Java中级工程师,深圳彩京软件科技有限公司,深圳-南山区,1-1.5万/月,05-19
java工程师（前端开发）,深圳市斯普瑞特通信技术有限公司,深圳,6-8千/月,05-19
Java开发工程师,深圳市金企鹅互联网金融服务有限公司,深圳-福田区,1.5-2.5万/月,05-19
JAVA WEB开发工程师,深圳市维邦云计算技术发展有限公司,深圳-龙岗区,6-8千/月,05-19
Java高级开发工程师,深圳云里物里科技股份有限公司,深圳-龙华新区,1.5-2.5万/月,05-19
java工程师(中高级）,深圳鹏锐信息技术股份有限公司,深圳-南山区,1-2.5万/月,05-19
高级JAVA开发工程师03,深圳市前海智车科技有限公司,深圳-南山区,2-3万/月,05-19
Java开发工程师,深圳前海大智金服科技有限公司,深圳-南山区,1-2万/月,05-19
高级java开发工程师,深圳前海跨海侠跨境电子商务有限公司,深圳-福田区,1.3-2.5万/月,05-19
中级Java开发工程师,北京易诚互动网络技术有限公司,深圳,0.8-1.6万/月,05-19
